epoch,mse,entropy,time_s
1,0.1631570225091357,3.566140607783669,6.14
2,0.12107405909582188,2.36521745982923,5.71
3,0.11153246148636467,2.150002123493897,5.95
4,0.0994223634663381,2.31543579227046,6.76
5,0.09052806435839127,2.1462321830423257,6.21
6,0.08125934583183966,1.8832157034622996,6.91
7,0.07497792808633101,1.6486989134236385,6.39
8,0.06940801069140434,1.6988644286205894,6.58
9,0.06427098820476156,1.8658103409566378,6.17
10,0.059653202120802905,1.8982866673093093,6.29
11,0.05481930974086648,1.908168795861696,6.72
12,0.05050104224172078,1.908244987851695,7.06
13,0.047367609743224945,1.8820232231366008,6.57
14,0.044651959581594715,1.843372853178727,5.85
15,0.042170057759473197,1.7801321682177091,6.44
16,0.039748070516476504,1.7140003960383565,5.89
17,0.03748385064107807,1.6264429312003286,6.48
18,0.035627508928117,1.531353738747145,5.64
19,0.03421890581222741,1.4315117597579956,6.51
20,0.03282503636651918,1.327010027672115,7.35
21,0.031660996843129396,1.2239202778590352,7.21
22,0.030568779127574282,1.1348477986298109,6.61
23,0.029628176144079157,1.0616650934282101,6.82
24,0.028655940519743843,1.0002733531751131,5.36
25,0.0278539262270849,0.9457723059152302,6.00
26,0.027084497783921267,0.9012083513172049,5.58
27,0.026418428647478943,0.8684180622038088,5.71
28,0.02582533240906502,0.8365283569223002,5.69
29,0.02515184190614443,0.8166425259489762,5.78
30,0.024604424809742915,0.7949397563934326,5.77
